,n_components,n_clusters,c_npmi_mean,u_mass_mean,dist_mean,score_mean,bucket_A_rate,bucket_B_rate,bucket_C_rate
2,30,50,0.11767079847404441,-1.701714314621601,0.15960144609212876,0.783731139735653,0.76,0.18,0.06
3,30,60,0.11216033309472287,-1.6879002787094533,0.1558968527863423,0.7753653468537477,0.7333333333333333,0.16666666666666666,0.1
1,30,40,0.11929519283153182,-1.6847932942856236,0.16643608622252942,0.7650373878661799,0.725,0.2,0.075
5,30,80,0.10942884363557252,-1.7692927916778225,0.14954464687034488,0.6955574413758052,0.7,0.2125,0.0875
4,30,70,0.11146193346673793,-1.7036055672678072,0.1534420417887824,0.7713144749325261,0.6714285714285714,0.2714285714285714,0.05714285714285714
11,40,60,0.115539284779742,-1.6715744830864487,0.17740835150082906,0.6529109794540658,0.6666666666666666,0.23333333333333334,0.1
6,30,90,0.10523209924249094,-1.7757312144750614,0.14769799891445373,0.6606870018713854,0.6555555555555556,0.2222222222222222,0.12222222222222222
0,30,30,0.10974100398914007,-1.6889437666656197,0.17565942505995433,0.5865656669769413,0.6333333333333333,0.26666666666666666,0.1
7,30,100,0.1016516206866461,-1.7889637624620043,0.14516813114285468,0.6285712748424889,0.62,0.26,0.12
10,40,50,0.1143053726501433,-1.6920682673130287,0.18122582897543907,0.5808628845089872,0.6,0.26,0.14
13,40,80,0.11211942749143303,-1.7285694371380464,0.16796999489888548,0.6217669955202629,0.5875,0.3125,0.1
15,40,100,0.10791470104511534,-1.7762259754225838,0.16511674605309964,0.5398465550606051,0.58,0.29,0.13
9,40,40,0.11133071033899818,-1.6769577057600924,0.19020692650228738,0.4958493657497621,0.575,0.35,0.075
19,50,60,0.116212007650841,-1.6510715453357203,0.1927203213175138,0.5580791122562164,0.5666666666666667,0.2833333333333333,0.15
14,40,90,0.10914954072219092,-1.7918241018801644,0.16621120820442836,0.5174791418090433,0.5666666666666667,0.28888888888888886,0.14444444444444443
16,50,30,0.11349022115550603,-1.6435375138111976,0.21703897366921107,0.33605774156740653,0.5666666666666667,0.3,0.13333333333333333
21,50,80,0.110510890971886,-1.7057916574009482,0.1893421657383442,0.45618413307558114,0.55,0.35,0.1
12,40,70,0.1095181229520866,-1.7256339388036723,0.17349987881524223,0.5531906171420622,0.5428571428571428,0.34285714285714286,0.11428571428571428
