n_components,explained_variance
5000,0.7095934536164746
4500,0.687267398770983
4000,0.6612717096790023
3500,0.6314868006851183
3000,0.597274565780336
2500,0.5575700057224262
2250,0.5351436755462544
2000,0.5105843659819731
1750,0.48344930716552176
1500,0.45318430242352886
1250,0.41900683428148305
1000,0.37969313901497853
900,0.3620820285075187
800,0.343133638240574
700,0.32261260549937626
600,0.300212290718665
500,0.2754961372317848
400,0.24761451752857447
300,0.21527743563064788
200,0.17593304956557418
100,0.12307407457866512
